day,weight,bfp
2019-07-30,"67,3","18,88"
2019-07-31,"66,65","18,51"
2019-08-01,"66,95","18,6"
2019-08-02,"66,35","18,33"
2019-08-03,65,"17,5"
2019-08-04,"66,15","18,24"
2019-08-05,"65,9","18,05"
2019-08-06,"65,65","17,87"
2019-08-07,"66,2","18,24"
2019-08-08,"66,3","18,24"
2019-08-09,"65,8","17,96"
2019-08-10,"64,9","17,5"
2019-08-11,"65,2","17,68"
2019-08-12,"65,05","17,59"
2019-08-13,"64,9","17,5"
2019-08-14,"64,5","17,22"
2019-08-15,"64,4","17,13"
2019-08-16,"64,85","17,41"
2019-08-17,"65,35","17,78"
2019-08-18,"65,1","17,59"
2019-08-19,"64,4","17,13"
2019-08-20,"64,6","17,31"
2019-08-21,"65,85","18,05"
2019-08-22,"65,15","17,59"
2019-08-23,"65,8","17,96"
2019-08-24,"65,2","17,68"
2019-08-25,"64,7","17,31"
2019-08-26,"65,05","17,59"
2019-08-27,"65,4","17,78"
2019-08-28,"64,5","17,78"
2019-08-29,"65,15","17,59"
2019-08-30,"65,2","17,68"
2019-08-31,"64,8","17,41"
2019-09-01,"65,05","17,59"
2019-09-02,"64,95","17,5"
2019-09-03,"63,55","16,67"
2019-09-04,"64,8","17,41"
2019-09-05,"65,25","17,68"
2019-09-06,"65,05","17,59"
2019-09-07,"64,3","17,13"
2019-09-08,"65,9","18,05"
2019-09-09,"65,6","17,87"
2019-09-10,"64,55","17,22"
2019-09-11,"64,5","17,22"
2019-09-12,"64,2","17,04"
2019-09-13,"64,65","17,31"
2019-09-14,"64,65","17,31"
2019-09-15,"64,55","17,22"
2019-09-16,"64,55","17,22"
2019-09-17,"65,75","17,81"
2019-09-18,"65,2","17,43"
2019-09-19,"65,2","17,43"
2019-09-20,"64,9","17,3"
2019-09-21,"64,9","17,3"
2019-09-22,"64,2","17,04"
2019-09-23,"64,05","16,95"
2019-09-24,"64,4","16,92"
2019-09-25,64,"16,66"
2019-09-26,"64,8","17,17"
2019-09-27,"64,9","17,3"
2019-09-28,"63,95","16,85"
2019-09-29,"64,4","17,13"
2019-09-30,"64,95","17,3"
2019-10-01,"64,95","17,3"
2019-10-02,"65,15","17,43"
2019-10-03,"64,75","17,17"
2019-10-04,"65,1","17,43"
2019-10-05,"64,8","17,41"
2019-10-06,"64,15","17,04"
2019-10-07,"64,9","17,5"
2019-10-08,"64,45","17,04"
2019-10-09,"64,2","16,79"
2019-10-10,"64,15","16,79"
2019-10-11,"63,3","16,58"
2019-10-12,"63,4","16,67"
2019-10-13,"64,1","17,04"
2019-10-14,"64,3","17,22"
2019-10-15,"63,85","16,79"
2019-10-16,"63,85","16,79"
2019-10-17,"63,4","16,54"
2019-10-18,"63,85","16,79"
2019-10-19,"63,85","16,79"
2019-10-20,"64,1","17,04"
2019-10-21,"63,85","16,79"
2019-10-22,"64,4","17,04"
2019-10-23,"63,6","16,54"
2019-10-24,"64,1","16,92"
2019-10-25,"63,75","16,66"
2019-10-26,"63,95","17,04"
2019-10-27,"63,5","16,76"
2019-10-28,"63,55","16,54"
2019-10-29,"63,1","16,28"
2019-10-30,"63,05","16,28"
2019-10-31,"63,3","16,41"
2019-11-01,63,"16,39"
2019-11-02,"62,8","16,3"
2019-11-03,"63,1","16,49"
2019-11-04,"63,15","16,28"
2019-11-05,"63,15","16,28"
2019-11-06,"63,15","16,28"
2019-11-07,"62,9","16,15"
2019-11-08,"62,9","16,15"
2019-11-09,"62,7","16,21"
2019-11-10,"63,1","16,28"
2019-11-11,"63,2","16,41"
2019-11-12,"63,35","16,41"
2019-11-13,"62,75","16,15"
2019-11-14,"62,45","15,9"
2019-11-15,"63,4","16,54"
2019-11-16,"62,4","15,9"
2019-11-17,"62,1","15,65"
2019-11-18,"62,35","15,77"
2019-11-19,"63,05","16,28"
2019-11-20,"63,05","16,28"
2019-11-21,"63,2","16,41"
2019-11-22,"62,65","16,03"
2019-11-23,"62,65","16,21"
2019-11-24,"62,8","16,3"
2019-11-25,"62,4","15,9"
2019-11-26,"62,5","15,9"
2019-11-27,"62,45","15,9"
2019-11-28,62,"15,65"
2019-11-29,"62,4","15,9"
2019-11-30,"62,4","15,9"
2019-12-01,"62,4","15,9"
2019-12-02,"61,7","15,39"
2019-12-03,"62,25","15,77"
2019-12-04,"62,25","15,77"
2019-12-05,"62,25","15,77"
2019-12-06,"62,4","15,9"
2019-12-07,"62,75","16,21"
2019-12-08,"62,35","16,03"
2019-12-09,"62,35","16,03"
2019-12-10,"62,2","15,77"
2019-12-11,"62,7","16,03"
2019-12-12,"61,55","15,26"
2019-12-13,"61,55","15,26"
2019-12-14,"61,5","15,47"
2019-12-15,"62,05","15,75"
2019-12-16,"61,95","15,75"
2019-12-17,"61,95","15,75"
2019-12-18,"62,05","15,65"
2019-12-19,"61,55","15,47"
2019-12-20,"61,25","15,14"
2019-12-21,"61,6","15,39"
2019-12-22,"61,75","15,56"
2019-12-23,"61,6","15,39"
2019-12-24,"61,55","15,47"
2019-12-25,"61,55","15,47"
2019-12-26,"62,45","16,03"
2019-12-27,"62,8","16,3"
2019-12-28,"62,75","16,3"
2019-12-29,"62,75","16,3"
2019-12-30,"63,25","16,4"
2019-12-31,"63,35","16,5"
2020-01-01,"63,45","16,5"
2020-01-02,"63,45","16,5"
2020-01-03,"63,45","16,5"
2020-01-04,"63,25","16,4"
2020-01-05,"63,25","16,4"
2020-01-06,"62,95","16,4"
2020-01-07,"63,65","16,5"
2020-01-08,"62,95","16,4"
2020-01-09,"63,85","15,1"
2020-01-10,"63,85","15,1"
2020-01-11,"63,95","15,2"
2020-01-12,"63,8","16,6"
2020-01-13,64,"16,7"
2020-01-14,"63,7","15,1"
2020-01-15,"63,85","15,1"
2020-05-24,"68,1","13,3"
2020-07-30,"68,2","13,4"
2020-08-04,"69,05","13,6"
2020-08-18,"70,00","13,8"
2020-08-19,"69,85","13,8"
2020-08-20,"69,45","13,7"
